open_time,open,high,low,close
1788166800000,78439.1,78774.0,78359.4,78616.7
1788167700000,78616.7,78764.5,78560.1,78616.3
1788168600000,78616.4,78680.0,78557.5,78669.3
1788169500000,78669.4,78769.5,78479.7,78486.6
1788170400000,78486.6,78496.8,78287.6,78491.3
1788171300000,78491.4,78491.4,78368.3,78409.4
1788172200000,78409.3,78512.8,78341.4,78497.3
1788173100000,78497.4,78744.9,78468.0,78680.7
1788174000000,78680.7,78680.7,78535.4,78596.8
1788174900000,78596.8,78611.3,78434.8,78453.8
1788175800000,78453.8,78454.5,78326.9,78359.9
1788176700000,78359.9,78389.7,78262.0,78284.7
1788177600000,78284.6,78516.4,78232.3,78380.4
1788178500000,78380.4,78450.0,78020.0,78059.6
1788179400000,78059.5,78130.0,77663.1,77853.1
1788180300000,77853.1,77900.0,77742.9,77900.0
1788181200000,77900.0,78173.4,77900.0,78051.5
1788182100000,78051.6,78060.8,77850.0,78024.9
1788183000000,78025.0,78256.2,77802.7,77968.7
1788183900000,77968.7,78036.0,77676.8,77834.7
1788184800000,77834.7,78046.8,77769.2,77864.2
1788185700000,77864.2,78044.0,77711.7,77998.9
1788186600000,77998.9,78650.0,77938.8,78482.3
1788187500000,78482.2,78628.1,78334.1,78628.1
1788188400000,78573.9,78660.0,78280.0,78285.4
1788189300000,78285.4,78509.2,78175.5,78425.6
1788190200000,78425.5,78747.4,78364.1,78676.4
1788191100000,78676.4,78735.3,78486.1,78543.0
1788192000000,78543.1,78765.4,78490.9,78640.3
1788192900000,78640.3,78720.0,78466.2,78619.8
1788193800000,78619.9,78736.6,78542.6,78686.4
1788194700000,78686.5,78875.0,78598.1,78600.7
1788195600000,78600.7,78777.0,78570.4,78702.8
1788196500000,78702.8,78710.0,78450.2,78506.6
